site,fire.x,lat,lon,decid.dens.pre,decid.bio.pre,spruce.dens.pre,spruce.bio.pre,rel.decid.dens.pre,rel.decid.bio.pre,decid.dens.post,decid.bio.post,spruce.dens.post,spruce.bio.post,rel.decid.dens.post,rel.decid.bio.post,new.bio.dens,traj.20,postsol.depth,presol.depth,lostsol.depth,presol.c,postsol.c,lostsol.c,preabove.c,prebelow.c,pretot.c.new,preabove.n,prebelow.n,pretot.n.new,preabove.cn,prebelow.cn,pretot.cn.new,postabove.c,postbelow.c,posttot.c.new,postabove.n,postbelow.n,posttot.n.new,postabove.cn,postbelow.cn,posttot.cn.new,lostabove.c,lostbelow.c,losttot.c.new,lostabove.n,lostbelow.n,losttot.n.new,lostabove.cn,lostbelow.cn,losttot.cn.new
BF73,BF,65.11811,147.44866,0.016666667,166.8316168,0.97,1999.429319,0.016891892,0.077013629,5.1,197.54,4.9,4.79,0.51,0.976325804,0.743162902,Deciduous,7.081818182,28.47272727,21.39090909,7123.714958,2496.150909,4627.564049,969.4539667,7166.714958,8136.168925,5.96669916,237.409463,243.3761622,162.4774336,30.18714952,33.4304266,849.7373917,2539.150909,3388.888301,3.194462064,92.894818,96.08928006,266.0032815,27.33361197,35.26812042,294.1493958,4670.564049,4964.713445,2.81807651,145.024645,147.8427215,104.3794925,32.20531275,33.58104744
BF75,BF,65.12273,147.46527,0,0,0.38,3416.19188,0,0,0.4,87.53,0.2,9.17,0.666666667,0.905170631,0.785918649,Deciduous,7.686363636,32.10909091,24.42272727,8044.173867,2484.117273,5560.056595,1138.839217,8087.173867,9226.013084,5.592125573,268.742336,274.3344616,203.6505086,30.0926679,33.63052907,1041.42278,2527.117273,3568.540053,3.26589104,89.693909,92.95980004,318.8786053,28.17490397,38.38799192,298.5136617,5603.056595,5901.570257,2.403079104,179.558427,181.9615061,124.2213214,31.2046429,32.43306996
BF76,BF,65.1234,147.46541,0.008333333,342.8357163,0.09,577.5524374,0.08474576,0.372490362,7.8,243.9,2.2,14,0.78,0.945715394,0.862857697,Deciduous,3.818181818,21.86363636,18.04545455,5610.38621,2101.09453,3509.29168,547.0290417,5653.38621,6200.415252,2.91785817,178.88669,181.8045482,187.4762274,31.60316852,34.10484124,531.00046,2144.09453,2675.09499,1.942941293,67.54134,69.48428129,273.2972231,31.74492141,38.49928272,132.1450192,3552.29168,3684.436699,1.008072904,111.85535,112.8634229,131.0867683,31.7579059,32.64509089
BF77,BF,65.12968,147.47365,0,0,1.87,2022.79049,0,0,10.1,56.39,5.4,6.77,0.651612903,0.892811906,0.772212405,Deciduous,6.459090909,23.74545455,17.28636364,5927.118376,2302.693636,3624.42474,857.1152,5970.118376,6827.233576,5.89666864,196.676729,202.5733976,145.355836,30.35498102,33.70251798,833.4451417,2345.693636,3179.138778,3.713904771,86.126636,89.84054077,224.4120927,27.23540295,35.38646084,231.5538167,3667.42474,3898.978557,2.211966689,117.656076,119.8680427,104.6823254,31.17072118,32.52725638
BF78,BF,65.15298,147.48117,0,0,0.52,1098.763769,0,0,3.8,18.26,0.6,7.24,0.863636364,0.716078431,0.789857398,Deciduous,14.2,24.38888889,10.18888889,6446.59655,5646.32747,800.26908,284.8520333,6489.59655,6774.448583,1.849068163,265.4899,267.3389682,154.0516672,24.44385474,25.34029599,200.6674383,5689.32747,5889.994908,0.660099773,244.01116,244.6712598,303.9956178,23.31584945,24.07309675,112.6425554,843.26908,955.9116354,1.200021939,21.98874,23.18876194,93.86708004,38.35004098,41.22305615
BF79,BF,65.15089,147.47616,0,0,0.95,2392.092589,0,0,22.4,42.83,11.2,25.81,0.666666667,0.623980186,0.645323427,Mixed,1.295454545,14.125,12.82954545,3086.60236,903.06563,2183.53673,680.629725,3129.60236,3810.232085,4.223947747,96.79693,101.0208777,161.1359244,32.33162829,37.7172736,539.2546833,946.06563,1485.320313,2.008711484,34.2727,36.28141148,268.4580078,27.60405892,40.93887896,235.6202833,2226.53673,2462.157013,2.245767178,63.03423,65.27999718,104.9175024,35.32266088,37.71686764
BF80,BF,65.15125,147.47287,0,0,0.7,1660.293055,0,0,15,179.58,8.2,18.11,0.646551724,0.908391927,0.777471826,Deciduous,5.763636364,25.24545455,19.48181818,6306.807676,1705.389091,4601.418585,258.3348667,6349.807676,6608.142543,1.878171807,209.601539,211.4797108,137.5459187,30.29466151,31.24717032,183.066105,1748.389091,1931.455196,0.635742425,60.863273,61.49901543,287.9564078,28.72650459,31.40627834,106.3201492,4644.418585,4750.738734,1.249893652,149.248266,150.4981597,85.06335641,31.11874402,31.56675633
BF81,BF,65.15033,147.47324,0.008333333,45.0800728,0.77,968.0112218,0.010706638,0.044497542,13.5,335.76,11.5,5.8,0.54,0.983019089,0.761509545,Deciduous,7.5,27.09090909,19.59090909,6498.13027,4345.13571,2152.99456,306.4819667,6541.13027,6847.612237,2.337902463,216.12458,218.4624825,131.0927088,30.26555457,31.34456846,217.1224683,4388.13571,4605.258178,0.794261889,146.24816,147.0424219,273.3638253,30.00472423,31.31924868,127.297365,2195.99456,2323.291925,1.549184223,70.38642,71.93560422,82.17057927,31.19912279,32.29682923
BF82,BF,65.14843,147.47171,0,0,0.48,2878.424423,0,0,14.9,114.9,2.1,3.09,0.876470588,0.97381134,0.925140964,Deciduous,8.472727273,38.60909091,30.13636364,9689.494167,2287.503636,7401.990531,1644.060417,9732.494167,11376.55458,8.479433527,324.749846,333.2292795,193.8880011,29.96920333,34.14032104,1179.369542,2330.503636,3509.873178,2.881335829,76.882864,79.76419983,409.3134615,30.31239362,44.003114,600.435521,7444.990531,8045.426052,5.703156545,248.376983,254.0801395,105.2812624,29.974559,31.66491512
BF84,BF,65.15299,147.47819,0,0,0.6,1084.478234,0,0,1.1,4.71,12.9,4.67,0.078571429,0.502132196,0.290351813,Spruce,16.86,30.13636364,13.27636364,5938.32007,4849.73092,1088.58915,375.29145,5981.32007,6356.61152,2.363897613,188.39126,190.7551576,158.7596044,31.74945626,33.32340577,335.883525,4892.73092,5228.614445,1.359104246,141.68476,143.0438642,247.1359544,34.53251373,36.55252515,111.3832125,1131.58915,1242.972363,1.020992125,47.2165,48.23749213,109.0931162,23.96596846,25.76776503
