project,fire,site,lat,lon,tran,sample,age,Age.Class,decid.dens,decid.bio,spruce.dens,spruce.bio,rel.decid.dens,rel.decid.bio,new.bio.dens,traj.20,treesnagsolC,aboveC,belowC,treesnagsolN,aboveN,belowN,treesnagsolCN,aboveCN,belowCN,,,,,,,,,,,,,,,,,,,,,,,,,,,,
chrono,TKN137,TKN137,NA,NA,1,1,138,> 20 years,0,0,0.63,1245.25,0,0,0,Spruce,10556.38,1811.85,8744.53,186.21,10.20288,176.02,56.69195695,177.5822121,49.67918418,,,,,,,,,,,,,,,,,,,,,,,,,,,,
chrono,TKN139,TKN139,NA,NA,1,1,85,> 20 years,0,0,1.18,1195.23,0,0,0,Spruce,9361.49,1856.9,7504.588,144.54,9.316272,135.227856,64.76624375,199.3179246,55.49587357,,,,,,,,,,,,,,,,,,,,,,,,,,,,
chrono,TR90,TR1,63.32878,-142.88402,1,1,20,> 20 years,3.08,1659.18,1.21,28.78,0.717948718,0.982949833,0.850449276,Deciduous,6861.73,1224.432,5637.301,210.9,12.4578528,198.512328,32.53551072,98.28595824,28.3977376,,,,,,,,,,,,,,,,,,,,,,,,,,,,
chrono,TR90,TR2,63.28947,-142.76821,2,1,20,> 20 years,0.71,25.27,4.24,768.34,0.143434343,0.031841837,0.08763809,Spruce,7267.38,1559.918,5707.472,165.71,5.4441712,161.249224,43.85709503,286.5299313,35.39534553,,,,,,,,,,,,,,,,,,,,,,,,,,,,
chrono,TR90,TR3,63.31795,-142.78206,3,1,20,> 20 years,4.71,221.12,5.95,182.99,0.441838649,0.547177749,0.494508199,Mixed,6841.66,440.498,6401.161,207.11,3.2919472,204.014088,33.03457773,133.8107731,31.3760734,,,,,,,,,,,,,,,,,,,,,,,,,,,,
chrono,UBHW,UBHW1,65.15294,-147.46641,1,1,77,> 20 years,0.18,12407.54,0,0,1,1,1,Deciduous,8613.43,6252.838,2360.589,124.51,37.7748672,87.068072,69.18007087,165.5290531,27.11199348,,,,,,,,,,,,,,,,,,,,,,,,,,,,
chrono,UBHW,UBHW2,64.95177,-147.95484,2,1,79,> 20 years,0.24,10647.68,0.29,18.88,0.452830189,0.998229982,0.725530086,Deciduous,9454.48,5215.09,4239.396667,199.96,33.571112,166.4651733,47.28249544,155.3445712,25.46716879,,,,,,,,,,,,,,,,,,,,,,,,,,,,
chrono,WD78,WD1,65.17939,-147.87047,1,1,31,> 20 years,1.79,4508.61,0.54,208.21,0.768240343,0.955857972,0.862049158,Deciduous,7667.26,2554.236,5113.035,240.27,18.9868304,221.43132,31.9105148,134.5267191,23.09083918,,,,,,,,,,,,,,,,,,,,,,,,,,,,
chrono,WD78,WD2,65.18035,-147.86725,2,1,31,> 20 years,0.24,554.24,2.56,1019.45,0.085714286,0.352191346,0.218952816,Spruce,6770.25,2421.586,4348.664,126.85,14.6995344,113.268992,53.37264775,164.7389594,38.39236073,,,,,,,,,,,,,,,,,,,,,,,,,,,,
chrono,WD78,WD3,65.18136,-147.86937,3,1,31,> 20 years,0.6,3407.54,0.68,219.88,0.46875,0.939383915,0.704066958,Deciduous,5029.14,1980.102,3049.049,115.35,13.5673888,101.941672,43.60052364,145.9456959,29.90974093,,,,,,,,,,,,,,,,,,,,,,,,,,,,
